Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
ZAF,2022,SG.LAW.INDX,88.125
ZAF,2021,SG.LAW.INDX,88.125
ZAF,2020,SG.LAW.INDX,88.125
ZAF,2019,SG.LAW.INDX,88.125
ZAF,2018,SG.LAW.INDX,88.125
ZAF,2017,SG.LAW.INDX,88.125
ZAF,2016,SG.LAW.INDX,88.125
ZAF,2015,SG.LAW.INDX,88.125
ZAF,2014,SG.LAW.INDX,88.125
ZAF,2013,SG.LAW.INDX,81.875
ZAF,2012,SG.LAW.INDX,81.875
ZAF,2011,SG.LAW.INDX,78.75
ZAF,2010,SG.LAW.INDX,78.75
ZAF,2009,SG.LAW.INDX,78.75
ZAF,2008,SG.LAW.INDX,78.75
ZAF,2007,SG.LAW.INDX,78.75
ZAF,2006,SG.LAW.INDX,78.75
ZAF,2005,SG.LAW.INDX,78.75
ZAF,2004,SG.LAW.INDX,78.75
ZAF,2003,SG.LAW.INDX,78.75
ZAF,2002,SG.LAW.INDX,78.75
ZAF,2001,SG.LAW.INDX,78.75
ZAF,2000,SG.LAW.INDX,78.75
ZAF,1999,SG.LAW.INDX,73.125
ZAF,1998,SG.LAW.INDX,70
ZAF,1997,SG.LAW.INDX,65
ZAF,1996,SG.LAW.INDX,65
ZAF,1995,SG.LAW.INDX,59.375
ZAF,1994,SG.LAW.INDX,59.375
ZAF,1993,SG.LAW.INDX,41.875
ZAF,1992,SG.LAW.INDX,41.875
ZAF,1991,SG.LAW.INDX,38.75
ZAF,1990,SG.LAW.INDX,38.75
ZAF,1989,SG.LAW.INDX,38.75
ZAF,1988,SG.LAW.INDX,38.75
ZAF,1987,SG.LAW.INDX,33.75
ZAF,1986,SG.LAW.INDX,33.75
ZAF,1985,SG.LAW.INDX,33.75
ZAF,1984,SG.LAW.INDX,28.75
ZAF,1983,SG.LAW.INDX,28.75
ZAF,1982,SG.LAW.INDX,25.625
ZAF,1981,SG.LAW.INDX,25.625
ZAF,1980,SG.LAW.INDX,25.625
ZAF,1979,SG.LAW.INDX,25.625
ZAF,1978,SG.LAW.INDX,25.625
ZAF,1977,SG.LAW.INDX,25.625
ZAF,1976,SG.LAW.INDX,25.625
ZAF,1975,SG.LAW.INDX,25.625
ZAF,1974,SG.LAW.INDX,25.625
ZAF,1973,SG.LAW.INDX,25.625
ZAF,1972,SG.LAW.INDX,25.625
ZAF,1971,SG.LAW.INDX,25.625
ZAF,1970,SG.LAW.INDX,25.625
ZAF,2020,SH.MMR.RISK,300
ZAF,2019,SH.MMR.RISK,320
ZAF,2018,SH.MMR.RISK,300
ZAF,2017,SH.MMR.RISK,280
ZAF,2016,SH.MMR.RISK,340
ZAF,2015,SH.MMR.RISK,270
ZAF,2014,SH.MMR.RISK,270
ZAF,2013,SH.MMR.RISK,260
ZAF,2012,SH.MMR.RISK,240
ZAF,2011,SH.MMR.RISK,200
ZAF,2010,SH.MMR.RISK,180
ZAF,2009,SH.MMR.RISK,180
ZAF,2008,SH.MMR.RISK,190
ZAF,2007,SH.MMR.RISK,190
ZAF,2006,SH.MMR.RISK,200
ZAF,2005,SH.MMR.RISK,190
ZAF,2004,SH.MMR.RISK,180
ZAF,2003,SH.MMR.RISK,230
ZAF,2002,SH.MMR.RISK,240
ZAF,2001,SH.MMR.RISK,280
ZAF,2000,SH.MMR.RISK,230
ZAF,2020,SH.STA.MMRT,127
ZAF,2019,SH.STA.MMRT,118
ZAF,2018,SH.STA.MMRT,125
ZAF,2017,SH.STA.MMRT,133
ZAF,2016,SH.STA.MMRT,127
ZAF,2015,SH.STA.MMRT,141
ZAF,2014,SH.STA.MMRT,141
ZAF,2013,SH.STA.MMRT,151
ZAF,2012,SH.STA.MMRT,164
ZAF,2011,SH.STA.MMRT,194
ZAF,2010,SH.STA.MMRT,219
ZAF,2009,SH.STA.MMRT,225
ZAF,2008,SH.STA.MMRT,216
ZAF,2007,SH.STA.MMRT,218
ZAF,2006,SH.STA.MMRT,208
ZAF,2005,SH.STA.MMRT,221
ZAF,2004,SH.STA.MMRT,232
ZAF,2003,SH.STA.MMRT,205
ZAF,2002,SH.STA.MMRT,193
ZAF,2001,SH.STA.MMRT,168
ZAF,2000,SH.STA.MMRT,173
